시도별(17개),규모별,산업분류별,시점,부족률[%]
서울특별시,5인이상,J.정보통신업(58~63),2021. 2/2,4.5
서울특별시,5인이상,J.정보통신업(58~63),2022. 1/2,5
서울특별시,5인이상,J.정보통신업(58~63),2022. 2/2,4.4
서울특별시,5인이상,J.정보통신업(58~63),2023. 1/2,3.9
서울특별시,5인이상,J.정보통신업(58~63),2023. 2/2,3.6
서울특별시,5인이상,K.금융 및 보험업(64~66),2021. 1/2,1.1
서울특별시,5인이상,K.금융 및 보험업(64~66),2021. 2/2,1.4
서울특별시,5인이상,K.금융 및 보험업(64~66),2022. 1/2,2
서울특별시,5인이상,K.금융 및 보험업(64~66),2022. 2/2,1.6
서울특별시,5인이상,K.금융 및 보험업(64~66),2023. 1/2,1.8
서울특별시,5인이상,K.금융 및 보험업(64~66),2023. 2/2,1.9
서울특별시,5인이상,L.부동산업(68),2021. 1/2,0.9
서울특별시,5인이상,L.부동산업(68),2021. 2/2,0.9
서울특별시,5인이상,L.부동산업(68),2022. 1/2,1.4
서울특별시,5인이상,L.부동산업(68),2022. 2/2,1.2
서울특별시,5인이상,L.부동산업(68),2023. 1/2,1.2
서울특별시,5인이상,L.부동산업(68),2023. 2/2,1.2
서울특별시,5인이상,"M.전문, 과학 및 기술 서비스업(70~73)",2021. 1/2,1.9
서울특별시,5인이상,"M.전문, 과학 및 기술 서비스업(70~73)",2021. 2/2,2.5
서울특별시,5인이상,"M.전문, 과학 및 기술 서비스업(70~73)",2022. 1/2,3
서울특별시,5인이상,"M.전문, 과학 및 기술 서비스업(70~73)",2022. 2/2,2.9
서울특별시,5인이상,"M.전문, 과학 및 기술 서비스업(70~73)",2023. 1/2,2.6
서울특별시,5인이상,"M.전문, 과학 및 기술 서비스업(70~73)",2023. 2/2,2.6
서울특별시,5인이상,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2021. 1/2,1.6
서울특별시,5인이상,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2021. 2/2,2.2
서울특별시,5인이상,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2022. 1/2,3
서울특별시,5인이상,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2022. 2/2,2.7
서울특별시,5인이상,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2023. 1/2,2.5
서울특별시,5인이상,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2023. 2/2,1.9
서울특별시,5인이상,P.교육 서비스업(85),2021. 1/2,1.2
서울특별시,5인이상,P.교육 서비스업(85),2021. 2/2,2.1
서울특별시,5인이상,P.교육 서비스업(85),2022. 1/2,1.6
서울특별시,5인이상,P.교육 서비스업(85),2022. 2/2,1.7
서울특별시,5인이상,P.교육 서비스업(85),2023. 1/2,1.4
서울특별시,5인이상,P.교육 서비스업(85),2023. 2/2,1.4
서울특별시,5인이상,Q.보건업 및 사회복지 서비스업(86~87),2021. 1/2,2.2
서울특별시,5인이상,Q.보건업 및 사회복지 서비스업(86~87),2021. 2/2,2.5
서울특별시,5인이상,Q.보건업 및 사회복지 서비스업(86~87),2022. 1/2,2.7
서울특별시,5인이상,Q.보건업 및 사회복지 서비스업(86~87),2022. 2/2,2.6
서울특별시,5인이상,Q.보건업 및 사회복지 서비스업(86~87),2023. 1/2,2.6
서울특별시,5인이상,Q.보건업 및 사회복지 서비스업(86~87),2023. 2/2,2.5
서울특별시,5인이상,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",2021. 1/2,2.3
서울특별시,5인이상,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",2021. 2/2,2.8
서울특별시,5인이상,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",2022. 1/2,4.1
서울특별시,5인이상,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",2022. 2/2,3.1
서울특별시,5인이상,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",2023. 1/2,3.8
서울특별시,5인이상,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",2023. 2/2,2.2
서울특별시,5인이상,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2021. 1/2,1.2
서울특별시,5인이상,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2021. 2/2,2.7
서울특별시,5인이상,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2022. 1/2,2
서울특별시,5인이상,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2022. 2/2,3
서울특별시,5인이상,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2023. 1/2,2.3
서울특별시,5인이상,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2023. 2/2,2.7
서울특별시,1규모(5~9인),C.제조업(10~34),2021. 1/2,2.6
서울특별시,1규모(5~9인),C.제조업(10~34),2021. 2/2,4.5
서울특별시,1규모(5~9인),C.제조업(10~34),2022. 1/2,3.2
서울특별시,1규모(5~9인),C.제조업(10~34),2022. 2/2,2.3
서울특별시,1규모(5~9인),C.제조업(10~34),2023. 1/2,2.7
서울특별시,1규모(5~9인),C.제조업(10~34),2023. 2/2,3.4
서울특별시,1규모(5~9인),"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2021. 1/2,2.6
서울특별시,1규모(5~9인),"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2021. 2/2,3.3
서울특별시,1규모(5~9인),"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2022. 1/2,0.7
서울특별시,1규모(5~9인),"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2022. 2/2,1.3
서울특별시,1규모(5~9인),"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2023. 1/2,0
서울특별시,1규모(5~9인),"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2023. 2/2,0
서울특별시,1규모(5~9인),"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2021. 1/2,0
서울특별시,1규모(5~9인),"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2021. 2/2,2.9
서울특별시,1규모(5~9인),"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2022. 1/2,0
서울특별시,1규모(5~9인),"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2022. 2/2,2.7
서울특별시,1규모(5~9인),"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2023. 1/2,0
서울특별시,1규모(5~9인),"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2023. 2/2,0
서울특별시,1규모(5~9인),F.건설업(41~42),2021. 1/2,1
서울특별시,1규모(5~9인),F.건설업(41~42),2021. 2/2,2
서울특별시,1규모(5~9인),F.건설업(41~42),2022. 1/2,2.4
서울특별시,1규모(5~9인),F.건설업(41~42),2022. 2/2,3.8
서울특별시,1규모(5~9인),F.건설업(41~42),2023. 1/2,1.8
서울특별시,1규모(5~9인),F.건설업(41~42),2023. 2/2,5.5
서울특별시,1규모(5~9인),G.도매 및 소매업(45~47),2021. 1/2,2.1
서울특별시,1규모(5~9인),G.도매 및 소매업(45~47),2021. 2/2,3.5
서울특별시,1규모(5~9인),G.도매 및 소매업(45~47),2022. 1/2,3.2
서울특별시,1규모(5~9인),G.도매 및 소매업(45~47),2022. 2/2,3.5
서울특별시,1규모(5~9인),G.도매 및 소매업(45~47),2023. 1/2,3.8
서울특별시,1규모(5~9인),G.도매 및 소매업(45~47),2023. 2/2,3
서울특별시,1규모(5~9인),H.운수 및 창고업(49~52),2021. 1/2,1.7
서울특별시,1규모(5~9인),H.운수 및 창고업(49~52),2021. 2/2,4
서울특별시,1규모(5~9인),H.운수 및 창고업(49~52),2022. 1/2,1.7
서울특별시,1규모(5~9인),H.운수 및 창고업(49~52),2022. 2/2,2.2
서울특별시,1규모(5~9인),H.운수 및 창고업(49~52),2023. 1/2,1.7
서울특별시,1규모(5~9인),H.운수 및 창고업(49~52),2023. 2/2,1
서울특별시,1규모(5~9인),I.숙박 및 음식점업(55~56),2021. 1/2,2.4
서울특별시,1규모(5~9인),I.숙박 및 음식점업(55~56),2021. 2/2,5.3
서울특별시,1규모(5~9인),I.숙박 및 음식점업(55~56),2022. 1/2,5.8
서울특별시,1규모(5~9인),I.숙박 및 음식점업(55~56),2022. 2/2,6.7
서울특별시,1규모(5~9인),I.숙박 및 음식점업(55~56),2023. 1/2,5.6
서울특별시,1규모(5~9인),I.숙박 및 음식점업(55~56),2023. 2/2,5.3
서울특별시,1규모(5~9인),J.정보통신업(58~63),2021. 1/2,6.1
서울특별시,1규모(5~9인),J.정보통신업(58~63),2021. 2/2,8.3
서울특별시,1규모(5~9인),J.정보통신업(58~63),2022. 1/2,6.5
서울특별시,1규모(5~9인),J.정보통신업(58~63),2022. 2/2,6
서울특별시,1규모(5~9인),J.정보통신업(58~63),2023. 1/2,4.1
서울특별시,1규모(5~9인),J.정보통신업(58~63),2023. 2/2,6.1
서울특별시,1규모(5~9인),K.금융 및 보험업(64~66),2021. 1/2,0.6
서울특별시,1규모(5~9인),K.금융 및 보험업(64~66),2021. 2/2,1.3
서울특별시,1규모(5~9인),K.금융 및 보험업(64~66),2022. 1/2,2.2
서울특별시,1규모(5~9인),K.금융 및 보험업(64~66),2022. 2/2,0.4
서울특별시,1규모(5~9인),K.금융 및 보험업(64~66),2023. 1/2,0.8
서울특별시,1규모(5~9인),K.금융 및 보험업(64~66),2023. 2/2,3.3
서울특별시,1규모(5~9인),L.부동산업(68),2021. 1/2,0.7
서울특별시,1규모(5~9인),L.부동산업(68),2021. 2/2,0
서울특별시,1규모(5~9인),L.부동산업(68),2022. 1/2,1.1
서울특별시,1규모(5~9인),L.부동산업(68),2022. 2/2,0.7
서울특별시,1규모(5~9인),L.부동산업(68),2023. 1/2,0.6
서울특별시,1규모(5~9인),L.부동산업(68),2023. 2/2,0.6
서울특별시,1규모(5~9인),"M.전문, 과학 및 기술 서비스업(70~73)",2021. 1/2,3.4
서울특별시,1규모(5~9인),"M.전문, 과학 및 기술 서비스업(70~73)",2021. 2/2,3.4
서울특별시,1규모(5~9인),"M.전문, 과학 및 기술 서비스업(70~73)",2022. 1/2,2.4
서울특별시,1규모(5~9인),"M.전문, 과학 및 기술 서비스업(70~73)",2022. 2/2,2.8
서울특별시,1규모(5~9인),"M.전문, 과학 및 기술 서비스업(70~73)",2023. 1/2,3.8
서울특별시,1규모(5~9인),"M.전문, 과학 및 기술 서비스업(70~73)",2023. 2/2,4.3
서울특별시,1규모(5~9인),"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2021. 1/2,1.7
서울특별시,1규모(5~9인),"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2021. 2/2,1.6
서울특별시,1규모(5~9인),"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2022. 1/2,2.8
서울특별시,1규모(5~9인),"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2022. 2/2,2.6
서울특별시,1규모(5~9인),"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2023. 1/2,1.5
서울특별시,1규모(5~9인),"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2023. 2/2,0.9
서울특별시,1규모(5~9인),P.교육 서비스업(85),2021. 1/2,1.1
서울특별시,1규모(5~9인),P.교육 서비스업(85),2021. 2/2,5.8
서울특별시,1규모(5~9인),P.교육 서비스업(85),2022. 1/2,3
서울특별시,1규모(5~9인),P.교육 서비스업(85),2022. 2/2,2
서울특별시,1규모(5~9인),P.교육 서비스업(85),2023. 1/2,2.2
서울특별시,1규모(5~9인),P.교육 서비스업(85),2023. 2/2,1.9
서울특별시,1규모(5~9인),Q.보건업 및 사회복지 서비스업(86~87),2021. 1/2,0.9
서울특별시,1규모(5~9인),Q.보건업 및 사회복지 서비스업(86~87),2021. 2/2,3
서울특별시,1규모(5~9인),Q.보건업 및 사회복지 서비스업(86~87),2022. 1/2,2.9
서울특별시,1규모(5~9인),Q.보건업 및 사회복지 서비스업(86~87),2022. 2/2,3
서울특별시,1규모(5~9인),Q.보건업 및 사회복지 서비스업(86~87),2023. 1/2,2.8
서울특별시,1규모(5~9인),Q.보건업 및 사회복지 서비스업(86~87),2023. 2/2,3.8
서울특별시,1규모(5~9인),"R.예술, 스포츠 및 여가관련 서비스업(90~91)",2021. 1/2,5.9
서울특별시,1규모(5~9인),"R.예술, 스포츠 및 여가관련 서비스업(90~91)",2021. 2/2,8.2
서울특별시,1규모(5~9인),"R.예술, 스포츠 및 여가관련 서비스업(90~91)",2022. 1/2,8.7
서울특별시,1규모(5~9인),"R.예술, 스포츠 및 여가관련 서비스업(90~91)",2022. 2/2,4.1
서울특별시,1규모(5~9인),"R.예술, 스포츠 및 여가관련 서비스업(90~91)",2023. 1/2,10.3
서울특별시,1규모(5~9인),"R.예술, 스포츠 및 여가관련 서비스업(90~91)",2023. 2/2,2.6
서울특별시,1규모(5~9인),"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2021. 1/2,1.4
서울특별시,1규모(5~9인),"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2021. 2/2,4.9
서울특별시,1규모(5~9인),"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2022. 1/2,3.1
서울특별시,1규모(5~9인),"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2022. 2/2,6.5
서울특별시,1규모(5~9인),"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2023. 1/2,4.2
서울특별시,1규모(5~9인),"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2023. 2/2,5
서울특별시,2규모(10~29인),C.제조업(10~34),2021. 1/2,2.6
서울특별시,2규모(10~29인),C.제조업(10~34),2021. 2/2,4.3
서울특별시,2규모(10~29인),C.제조업(10~34),2022. 1/2,2.5
서울특별시,2규모(10~29인),C.제조업(10~34),2022. 2/2,2.5
서울특별시,2규모(10~29인),C.제조업(10~34),2023. 1/2,2.6
서울특별시,2규모(10~29인),C.제조업(10~34),2023. 2/2,2.9
서울특별시,2규모(10~29인),"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2021. 1/2,0
서울특별시,2규모(10~29인),"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2021. 2/2,0
서울특별시,2규모(10~29인),"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2022. 1/2,0
서울특별시,2규모(10~29인),"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2022. 2/2,0
서울특별시,2규모(10~29인),"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2023. 1/2,0
서울특별시,2규모(10~29인),"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2023. 2/2,2.4
서울특별시,2규모(10~29인),"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2021. 1/2,1.6
서울특별시,2규모(10~29인),"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2021. 2/2,0.8
서울특별시,2규모(10~29인),"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2022. 1/2,1.1
서울특별시,2규모(10~29인),"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2022. 2/2,1.5
서울특별시,2규모(10~29인),"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2023. 1/2,2
서울특별시,2규모(10~29인),"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2023. 2/2,4
서울특별시,2규모(10~29인),F.건설업(41~42),2021. 1/2,1.3
서울특별시,2규모(10~29인),F.건설업(41~42),2021. 2/2,1.7
서울특별시,2규모(10~29인),F.건설업(41~42),2022. 1/2,1.3
서울특별시,2규모(10~29인),F.건설업(41~42),2022. 2/2,1.8
서울특별시,2규모(10~29인),F.건설업(41~42),2023. 1/2,2.3
서울특별시,2규모(10~29인),F.건설업(41~42),2023. 2/2,2.2
서울특별시,2규모(10~29인),G.도매 및 소매업(45~47),2021. 1/2,2.4
서울특별시,2규모(10~29인),G.도매 및 소매업(45~47),2021. 2/2,3.1
서울특별시,2규모(10~29인),G.도매 및 소매업(45~47),2022. 1/2,3.4
서울특별시,2규모(10~29인),G.도매 및 소매업(45~47),2022. 2/2,3.3
서울특별시,2규모(10~29인),G.도매 및 소매업(45~47),2023. 1/2,3
서울특별시,2규모(10~29인),G.도매 및 소매업(45~47),2023. 2/2,3.6
서울특별시,2규모(10~29인),H.운수 및 창고업(49~52),2021. 1/2,2.1
서울특별시,2규모(10~29인),H.운수 및 창고업(49~52),2021. 2/2,10.2
서울특별시,2규모(10~29인),H.운수 및 창고업(49~52),2022. 1/2,2.2
서울특별시,2규모(10~29인),H.운수 및 창고업(49~52),2022. 2/2,3.5
서울특별시,2규모(10~29인),H.운수 및 창고업(49~52),2023. 1/2,4.1
서울특별시,2규모(10~29인),H.운수 및 창고업(49~52),2023. 2/2,4.1
서울특별시,2규모(10~29인),I.숙박 및 음식점업(55~56),2021. 1/2,1.9
서울특별시,2규모(10~29인),I.숙박 및 음식점업(55~56),2021. 2/2,5.4
서울특별시,2규모(10~29인),I.숙박 및 음식점업(55~56),2022. 1/2,5.1
서울특별시,2규모(10~29인),I.숙박 및 음식점업(55~56),2022. 2/2,6.1
서울특별시,2규모(10~29인),I.숙박 및 음식점업(55~56),2023. 1/2,4.7
서울특별시,2규모(10~29인),I.숙박 및 음식점업(55~56),2023. 2/2,4
서울특별시,2규모(10~29인),J.정보통신업(58~63),2021. 1/2,4.5
서울특별시,2규모(10~29인),J.정보통신업(58~63),2021. 2/2,5.6
서울특별시,2규모(10~29인),J.정보통신업(58~63),2022. 1/2,6.3
서울특별시,2규모(10~29인),J.정보통신업(58~63),2022. 2/2,5.2
서울특별시,2규모(10~29인),J.정보통신업(58~63),2023. 1/2,5.7
서울특별시,2규모(10~29인),J.정보통신업(58~63),2023. 2/2,5.1
서울특별시,2규모(10~29인),K.금융 및 보험업(64~66),2021. 1/2,0.7
서울특별시,2규모(10~29인),K.금융 및 보험업(64~66),2021. 2/2,1.3
서울특별시,2규모(10~29인),K.금융 및 보험업(64~66),2022. 1/2,1.6
서울특별시,2규모(10~29인),K.금융 및 보험업(64~66),2022. 2/2,1.1
서울특별시,2규모(10~29인),K.금융 및 보험업(64~66),2023. 1/2,1.9
서울특별시,2규모(10~29인),K.금융 및 보험업(64~66),2023. 2/2,0.8
서울특별시,2규모(10~29인),L.부동산업(68),2021. 1/2,0.5
서울특별시,2규모(10~29인),L.부동산업(68),2021. 2/2,0.6
서울특별시,2규모(10~29인),L.부동산업(68),2022. 1/2,0.9
서울특별시,2규모(10~29인),L.부동산업(68),2022. 2/2,1
서울특별시,2규모(10~29인),L.부동산업(68),2023. 1/2,0.7
서울특별시,2규모(10~29인),L.부동산업(68),2023. 2/2,0.9
서울특별시,2규모(10~29인),"M.전문, 과학 및 기술 서비스업(70~73)",2021. 1/2,2.5
서울특별시,2규모(10~29인),"M.전문, 과학 및 기술 서비스업(70~73)",2021. 2/2,3.3
서울특별시,2규모(10~29인),"M.전문, 과학 및 기술 서비스업(70~73)",2022. 1/2,4.5
서울특별시,2규모(10~29인),"M.전문, 과학 및 기술 서비스업(70~73)",2022. 2/2,4.8
서울특별시,2규모(10~29인),"M.전문, 과학 및 기술 서비스업(70~73)",2023. 1/2,3.2
서울특별시,2규모(10~29인),"M.전문, 과학 및 기술 서비스업(70~73)",2023. 2/2,3.1
서울특별시,2규모(10~29인),"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2021. 1/2,4.4
서울특별시,2규모(10~29인),"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2021. 2/2,3.8
서울특별시,2규모(10~29인),"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2022. 1/2,5.8
서울특별시,2규모(10~29인),"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2022. 2/2,5
서울특별시,2규모(10~29인),"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2023. 1/2,4.5
서울특별시,2규모(10~29인),"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2023. 2/2,1.9
서울특별시,2규모(10~29인),P.교육 서비스업(85),2021. 1/2,1.5
서울특별시,2규모(10~29인),P.교육 서비스업(85),2021. 2/2,1.5
서울특별시,2규모(10~29인),P.교육 서비스업(85),2022. 1/2,1.9
서울특별시,2규모(10~29인),P.교육 서비스업(85),2022. 2/2,1.9
서울특별시,2규모(10~29인),P.교육 서비스업(85),2023. 1/2,1.6
서울특별시,2규모(10~29인),P.교육 서비스업(85),2023. 2/2,1.5
서울특별시,2규모(10~29인),Q.보건업 및 사회복지 서비스업(86~87),2021. 1/2,2.1
서울특별시,2규모(10~29인),Q.보건업 및 사회복지 서비스업(86~87),2021. 2/2,2.6
서울특별시,2규모(10~29인),Q.보건업 및 사회복지 서비스업(86~87),2022. 1/2,2.2
서울특별시,2규모(10~29인),Q.보건업 및 사회복지 서비스업(86~87),2022. 2/2,3
서울특별시,2규모(10~29인),Q.보건업 및 사회복지 서비스업(86~87),2023. 1/2,2.3
서울특별시,2규모(10~29인),Q.보건업 및 사회복지 서비스업(86~87),2023. 2/2,3
서울특별시,2규모(10~29인),"R.예술, 스포츠 및 여가관련 서비스업(90~91)",2021. 1/2,1.4
서울특별시,2규모(10~29인),"R.예술, 스포츠 및 여가관련 서비스업(90~91)",2021. 2/2,1.9
서울특별시,2규모(10~29인),"R.예술, 스포츠 및 여가관련 서비스업(90~91)",2022. 1/2,4.9
서울특별시,2규모(10~29인),"R.예술, 스포츠 및 여가관련 서비스업(90~91)",2022. 2/2,3
서울특별시,2규모(10~29인),"R.예술, 스포츠 및 여가관련 서비스업(90~91)",2023. 1/2,0.5
서울특별시,2규모(10~29인),"R.예술, 스포츠 및 여가관련 서비스업(90~91)",2023. 2/2,1.5
서울특별시,2규모(10~29인),"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2021. 1/2,0.6
서울특별시,2규모(10~29인),"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2021. 2/2,2.6
서울특별시,2규모(10~29인),"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2022. 1/2,1.9
서울특별시,2규모(10~29인),"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2022. 2/2,1.6
서울특별시,2규모(10~29인),"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2023. 1/2,2.1
서울특별시,2규모(10~29인),"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2023. 2/2,1.8
서울특별시,3규모(30~99인),C.제조업(10~34),2021. 1/2,3.4
서울특별시,3규모(30~99인),C.제조업(10~34),2021. 2/2,2.7
서울특별시,3규모(30~99인),C.제조업(10~34),2022. 1/2,3.6
서울특별시,3규모(30~99인),C.제조업(10~34),2022. 2/2,3.3
서울특별시,3규모(30~99인),C.제조업(10~34),2023. 1/2,2.7
서울특별시,3규모(30~99인),C.제조업(10~34),2023. 2/2,3.1
서울특별시,3규모(30~99인),"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2021. 1/2,0
서울특별시,3규모(30~99인),"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2021. 2/2,0.2
서울특별시,3규모(30~99인),"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2022. 1/2,0.9
서울특별시,3규모(30~99인),"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2022. 2/2,0.5
서울특별시,3규모(30~99인),"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2023. 1/2,0.7
서울특별시,3규모(30~99인),"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2023. 2/2,0.5
서울특별시,3규모(30~99인),"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2021. 1/2,0.2
서울특별시,3규모(30~99인),"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2021. 2/2,1
서울특별시,3규모(30~99인),"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2022. 1/2,1.5
서울특별시,3규모(30~99인),"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2022. 2/2,1.5
서울특별시,3규모(30~99인),"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2023. 1/2,1
